gene_name,log2_mod_coefs,log_fdr_adj_p
Eprs,1.264710705946255,1.5968023697145253
Slc30a10,-1.3571894671216664,1.2892955545129483
Tmem100,2.0933295793123885,1.7084076940352309
Txndc11,-1.4786319646201769,1.0371834123311743
Odr4,1.3516577950456843,10.010244755137679
Gnl3l,1.120147840599248,2.014598191247825
Cul4b,1.0482435040532683,2.6078429985739535
Ero1b,-1.064294880918422,1.000882991929468
Kctd3,2.064371242896172,1.6296993963935635
Abat,1.1933783651828318,2.1145396827372793
Ccdc43,-1.595626504728025,2.347859213825165
Spag9,-1.6441123859517874,1.051816211200585
Kdsr,3.7223741447990424,1.1112091088027856
Maoa,-1.4258393638397329,1.023475354081112
Cacna1e,-1.0749806670115072,1.740089632026115
Nacc1,-1.3101538634063798,1.0089447368776798
AABR07065078.1,1.3271551376401058,6.609836903250844
Afm,1.0309101222759323,1.08409979199533
Arr3,-1.0423548854315217,1.8327026850117922
Slc35a4,1.4106643197661848,1.0790756547851237
Shroom4,-2.399626597625913,1.1230109142528772
Tsr1,1.5597013972176186,1.1216980333265847
Timmdc1,1.272618879050472,1.5893751175380602
Calr,1.1765206762930163,1.5262036899154043
Cd38,-2.562773581052823,1.4121690040729111
Prom1,-1.1577130181218547,1.152382196232911
Sdhc,1.3764110572010089,1.4465394345346727
Anks3,-2.0937033353703636,1.1629570146773782
Ldb2,1.5522448213512174,9.28792379432647
Slc9a3r1,-1.234140360191657,1.1918825431700102
B3galt2,1.447317405244185,1.2678425618450941
Nr1i3,1.8482139162334077,1.2630661335631035
Rcsd1,-2.4051392266713263,1.314922890982852
Fbxw10,-3.7704075006891915,2.3475417277986765
Dck,1.3839544640935746,3.522730683385621
Flcn,1.3335989314169425,1.4565441245428004
Gcdh,-1.4546188282996217,1.7204787703198057
Rrn3,-3.6337207982555215,1.2111432917029545
Canx,1.4790345938236353,1.5193446546218217
Mospd2,-2.8509946200794825,1.8086559661171513
Fmo4,-2.34266626728393,1.5906613406015184
Slc35f5,1.6634711904454427,1.6777720364845177
Klf1,1.5131459599988135,1.3329582733175331
Fundc1,1.803434370693865,2.9280352722945837
Ppfia4,-1.0819052821095023,1.8484919707192036
Rufy1,2.1287409833378286,1.1958356001840955
Cybb,-3.320728799705467,1.1048583154109355
Nt5c,-1.0040871491986771,8.602169280178622
Clgn,-1.255481200875494,1.6107473413967393
Nr0b1,1.754007598030534,1.296072037001563
Rps6kc1,-2.2338498062901238,1.146853783960788
Tmem163,1.0407146229903883,1.309916961827286
Mrps7,-1.582199933529297,1.0517802577216966
Kcnk10,1.2847580249073933,1.579773620369144
Wnt3,-2.31381777386814,1.04946764362337
Dnaja3,-1.307753122013868,1.7794733369736806
Lgi2,1.1793795988915303,1.8438216185236604
Tbc1d15,2.9107144431716745,1.0438847836852816
Pcdh19,-1.133864962354809,1.094955705037229
Spata7,-2.1321362834171125,1.164044969422802
Arhgap6,-1.1864005209818487,1.8931789438750646
Zfp18,-1.0631036104625535,2.1440917746936337
Atp2b1,1.6275043798167614,2.323256488935019
Ccdc88a,1.5740118046903897,2.071943567504644
Ptger1,-1.406668267709921,1.9851223617937317
Zfpm2,-1.0708125243501252,1.9185198106994188
Kcnv1,1.4205903228088685,1.3148290678551946
Coro7,-1.1345403124526636,1.194093211478938
Flii,-1.178334608211184,4.762501786260979
S100g,-1.8161453131518002,1.2262042448312724
Odf4,-3.056591534696737,1.2068584394164246
Mgst3,-1.2109413986208235,1.96410147409706
Chst7,-1.4184750447008212,3.1067224121004036
Adgra3,-1.1414103200473389,1.9378302845318403
Camta2,2.1075065909136073,3.5531313914727503
Wdr83,-1.9949381848714043,1.364396503671364
Syap1,2.537419105122838,1.308918495922893
Ppm1h,-1.1850477025989048,1.7385289986106784
Sh3kbp1,1.0578202861580122,1.7128512320428941
Ahr,-1.6474110589630813,5.900081039847155
Rps6ka5,1.7168512194485064,1.0030686561954691
Aqp12a,1.0889223573933147,1.3205766802034065
Clhc1,2.931263450219839,1.0964902226436244
Adss,1.9638556255594493,1.584411148274303
Mterf3,1.7255653075279667,1.5681626516325096
Desi2,1.777226107224337,3.7251531995009906
Clec3b,2.649660447059227,1.4677985165842131
