gene_name,log2_mod_coefs,log_fdr_adj_p
Cers4,1.4346293817431202,2.4971295985366466
Mphosph9,-1.4134387591606206,1.7166767555263815
Stard13,1.1149322207686145,2.612193963667944
Zfp316,-1.0907080696206337,1.9258209202074363
Denr,-1.7823369210353157,1.2848970526320578
Slc29a4,-1.625467792517056,1.2476947212014136
Tesc,-1.8808750560735532,1.161051707752623
Acads,-1.9087112992175386,3.355495396564042
Pknox1,-1.3866984845160577,2.2255064083815017
Tchp,-1.4508489866786922,1.4581898803009898
Rsrc2,-1.491892072748822,1.5604194595176544
Clip1,-1.781587664158303,2.459472383970419
Mafk,-1.7668790445215625,2.2011866066869845
Atp2a2,1.580033748103896,1.2771601487410957
Adora2a,-3.893567897719555,1.7520939095882002
Rab36,1.4773144125928608,1.2624768034964187
Rsph14,-1.9631779404055272,1.485197177868037
Zfp68,-1.6920226704610488,1.2807309514987641
Mapkapk5,-1.6117746279886416,1.1774827989198435
Ddx54,-1.3011234365094464,1.0356615407213703
Iqcd,-1.7075916624759369,1.796713839221755
Irs3,1.1778610432848449,1.7754696964429721
Epo,-2.113011401950686,1.2222034760292375
Plod3,1.6826411925565872,1.060830968545303
Prkrip1,-1.1983164109527775,3.0199399362879915
Nsun5,1.4103492119992858,2.7521878077142032
Cdca7,-2.4099838787985677,1.6550220248351424
Dlx2,-2.2383669817852136,1.06947190172523
Tfg,-1.036561280779608,3.0301402457912814
Erg,3.859510149818347,1.7976955238876373
Setd4,1.9703314326717407,1.0529497044236804
Whrn,1.1648623528382982,2.5859457891778765
Atp13a4,2.4242011951350926,2.0182716224442037
Lsg1,-1.6926488144957768,1.6986213617136712
Vps8,-1.7234558245923994,1.519376371133444
AABR07034767.1,-1.3751308199545578,3.9538499753121235
Ccdc91,1.378726847998166,1.3963296802745286
Smpd4,-1.665729442198822,1.1140349782483736
Dgcr8,-1.4131128167138045,1.6499935093996385
Gnb1l,-1.9659692655289904,1.42377695100218
Ccdc50,-1.8175327236876873,2.3961533145923397
Vcsa2,-2.9089213569796923,1.6465087844630586
Retnla,-2.45530092705633,1.6312226598930344
Mx2,-2.616909175233508,1.0175848004369048
Gtpbp8,3.320347279378096,1.329249171357682
Atg3,-1.9603788765662378,1.188644615840498
Lrrc8d,1.4079469451878208,1.9745432988239435
Cd200,-1.4209468807293573,1.7414202994044303
Cep135,-2.5539527583023065,2.283956284990305
LOC498368,1.8936592928900209,1.4893361532934644
Coq2,1.9409385596712183,1.5142329306311793
Ociad2,1.8057259017300153,2.067810889292889
Hlx,-3.402160859467489,2.3251478394990412
Uchl1,-1.8910004526849788,1.203347926363949
Gabrg1,-1.5404548979359272,2.2381280158188046
Bpnt1,-1.3862954400136185,1.05573947112629
Slc30a10,-1.2513699773457405,2.16502772352905
Cdkl2,-1.015080118111665,2.2186857757914757
Pds5a,1.8214317096905839,1.0848814358323366
Cul4b,1.2595750341048733,1.8734906254917756
Ero1b,-1.4584645753114247,1.1556178756976225
Ivns1abp,-1.5935259248516973,1.0681220832762732
Kcnk2,1.5829504646773882,1.7781912175226962
Mtmr1,-1.5967416296770818,1.5308942213606798
Vps4b,-2.171050079699393,1.0548488205364697
Dlg3,-1.145088590203922,1.054555155396063
Pou3f4,-2.8569881934078762,1.119106717426136
Eftud2,-1.0479650518054497,1.0614341396107245
Slc16a2,-1.0202591604993676,4.6594075076693855
Slc19a2,1.597031309812527,1.3800361123725817
Rassf6,-2.2219976388028435,2.0127495797773087
AABR07065078.1,1.842028575726158,1.765317125593917
Nagpa,1.222015747429924,1.3627633780888426
Ankrd40,1.9707763373080456,1.3176049735105515
Ren,-2.492906133887761,1.445659880826175
Dpt,1.1628871424099199,1.3131405966658891
Shroom4,-2.702261059935689,1.4713300827366786
C1ql1,-1.8857916214362385,1.21355300058339
Cd38,-2.2068344844508876,2.4418895956752595
Cenpv,-2.9469007102384754,1.5193833795057425
Prom1,-1.215688537040668,1.3586107246361872
Acbd4,-1.1220457797398424,1.8332664166019668
