gene_name,log2_mod_coefs,log_fdr_adj_p
Prpf39,1.6537139668794747,1.3517462669192517
Spdya,1.4440234119663988,1.4973897362652742
Dhx40,-2.462788298620454,1.2709578756750182
Cox20,1.006933498321113,1.9899586111815994
Sec14l4,1.035913369874067,1.023949060155176
Cthrc1,1.9096226690818405,1.7524991870348547
Rtn4,-1.655220913530593,1.3409757932326378
Tpo,2.705013185210404,3.3041673777536538
Pak3,-1.7095659148863327,1.0057356191495395
Eny2,-2.1789659218137576,1.2555174379860548
Nup37,2.3095336303067437,1.800215322533025
Wdr25,-2.5758230908256863,1.2660733533433872
Jkamp,-2.707468203804943,1.47828459474182
Ccdc175,-1.6239495474071113,1.216211600094089
Crmp1,-1.2737965439333796,2.1954106649383194
Strn,-1.2322811008311212,1.820557721598948
Sntb1,-1.8691156788112584,1.985509975330779
B4galnt1,-1.853325594562142,1.8369592544466968
Mpped2,-1.9012025703907733,1.3742431042692254
Erh,-1.861405632374905,1.8243271904188572
Sel1l3,1.4869038462026931,1.7971051897430788
Rnf215,2.07882393187365,1.3571230849739861
Gpn1,1.3903427631347056,1.0323271538058807
Orc4,1.791406178683959,1.3556422985372807
Arhgef25,-1.2217084432446865,2.094266318346926
Lgr6,1.7122785181366627,1.2145228197337534
LOC103693780,-1.5209057597727413,1.1396413713629496
Ccdc157,-2.1376085224151082,1.1515308984639208
Sf3a1,2.1785960738925176,1.0201326857521227
Rapgef5,-1.2210322843810006,1.6476898065973593
Shmt1,1.5494363825500284,1.2001855122839982
Ndufaf7,1.5927058944733588,1.5232309170352036
Stx16,-1.3067268921139135,1.3530328393999467
Kif5a,2.7466550961514464,1.1065647469157194
Vapb,-1.2854860640623758,1.5837417306721855
Maea,-2.3541816916323737,1.220426981284776
Lsm11,-1.1787415303220967,1.8191232019984185
Slc1a2,-1.0442632659603297,2.4702979622642944
Ybx3,-1.1442649351074397,2.0842577445727235
Rpap1,1.5990862007921336,1.3978117145981435
Ubn2,1.928752234314904,1.7440626801704195
Itgb4,1.5222220689997568,1.3741439112743945
Mthfd1,1.0296118658456046,2.571229374965831
Yipf4,-2.892432884269961,1.0308085482154536
Ndufa8,-1.4211951844723762,1.413796214764373
Cav3,2.987394646645622,1.0854617723329643
Arhgdib,-1.2876539839079468,2.1058460069319245
Pde4b,1.2453109721104865,2.303871318462719
Il5ra,1.2235904327857545,1.3334471598669317
Rab2a,-1.3491367238239997,1.2871114084710138
Nr4a3,-1.9645629858574516,1.5517008008490487
Oxsm,-1.5088755190837444,1.3565848406038237
Psd4,2.9007051099579155,1.5882772033889754
Crppa,1.3318095378518442,1.165318618126193
St18,-1.396441736089948,1.2466129066037783
Slc30a3,-1.2268579965432116,1.9732292755323322
Mbd6,1.4864654540293527,1.4495208573071836
Nell2,-1.2921416626190845,2.8527384802379445
Tspyl5,1.3914197344906605,1.3856423320920117
Pcsk9,1.9292326885731894,1.124016622407526
Large2,1.496513416718253,2.2036020041166378
Akap8l,1.6177809080818093,1.5476465644749613
Lrrn3,1.4564728752289409,1.0025380597370703
Aven,1.6715719579846684,1.3952457915062553
Fkbp4,-1.8684688555723763,1.3982756780373655
Neo1,-1.086442955914116,1.3736682103927085
H3f3a,-1.4513760476182573,2.0378998194886804
Atp6v0c,-1.6968920716654161,1.161920544512921
Bms1,2.0569432365958997,1.2363733224595534
Thy1,-1.4698442557772724,1.4140678862482923
Vopp1,-1.803808484472458,1.684697941725172
Zfp618,2.253062102890541,1.6378348935815361
Slc24a4,1.518979134283823,1.0382270209389715
Podnl1,1.708042200324618,1.319583528567126
Psmd6,-1.4509248801667054,1.5488609218615
Snu13,1.5256429558201026,1.2343406039671416
Ddit3,1.6024854883625974,2.5605501393651338
Arl6ip5,1.510043820118755,2.0197607641710418
Laptm4a,-1.1982275276521959,3.0935240302415243
Rbl1,2.9497074682631097,1.066620650476896
Mrpl19,1.4566542821294617,1.1288244288849056
Vcpip1,-1.7982518090472883,1.501525182310071
Nr2c1,1.7025481882617273,1.7140831574094137
Tmc2,1.6706429272204908,1.0094325726737559
Timm17a,-3.264189801298584,1.4669398565240608
Rap1b,-1.616699789883931,1.5115132708275936
Dhx33,-1.6997996762160288,1.3756283509895169
Zfp746,1.045888528982286,2.9728701010521354
Cacna1c,1.8375888304621828,1.3311803044565431
Ly6e,-1.3604027780649615,2.2694542820139603
Crebl2,1.5977180485253248,1.2105420353564522
B3gat1,-1.8860089384579066,1.354644005970234
Bmt2,1.369266122025559,1.5663908614714346
Rrs1,1.6799837349201352,1.7795771104789928
Ehmt1,1.3202233418545288,3.3613858585672536
RGD1561796,-2.258239672507788,1.8044526481767538
Erlec1,1.3463887643874384,1.2550173079561304
Atp1a2,-1.3713064254767453,3.129068741500397
Thoc2,1.4084283449920851,1.0629701407948486
Ric8b,-1.513309409427995,1.4868037349703676
Pars2,2.088400086367592,1.0425395817464123
Rab15,-1.031202442333852,2.2450220463089448
Shisa4,-1.833636645619214,1.0741490553160629
Polr3b,2.2017315667681157,1.0604077353382755
Dzank1,1.2390163987247604,2.1419087657809937
Xrcc2,-2.510035757670737,1.0235262263331573
Scg5,-1.1577030503030596,1.0370031205135082
B3galt1,-1.7425156954916474,1.1936419751027434
Mss51,1.0692868441051249,2.3872577478745622
Acer2,1.1239550969387817,1.006871887260657
Dnm2,-1.6739143481092111,1.8606444901986725
Gpr63,-2.001651546341515,2.518438547691506
Cyth4,1.6390832003955966,2.096149712033809
Septin3,-1.5396773828305639,1.9009092120054418
Thoc7,1.2790794635879323,1.000858430167404
Tlcd3a,1.0537013140842215,1.5265753066573968
Mcam,-1.670437456631428,1.1053976295408159
Nap1l5,1.322237190802311,1.3469332531878198
Cep83,1.7824022400158739,1.3257064370969796
Plxnc1,1.1769189145869885,1.657026738249383
Chst1,-1.404310485415934,1.870395102465847
Sh3tc1,2.418590922838458,1.092787605123751
Tmed1,1.3666250113588543,1.1648202317730734
Khk,1.6371018254806045,1.3691989467538066
Kcnh6,2.645849267685824,1.1347742454554774
Btbd3,-1.5941500620628453,1.0930820254770406
Ubr7,1.374303815888285,1.413007983413574
Sync,-2.157100700033392,1.0072445102511365
Mfng,-2.6150955375261375,1.1161376870508115
Abhd6,-1.3454105402790522,2.404881741890538
Atp6v0e2,-1.2361786550006668,2.235217716475453
Lrrc61,-1.171956726092309,1.442430488026607
Unc13b,1.314624868553558,1.4809037880283304
Zbtb8a,1.423387453705376,1.6029868937051472
Clcn6,2.121494924436448,1.02097719005346
Zfp775,1.9793880612703538,1.4999213117811965
Zfp414,1.155900878653196,1.6170430434889413
Pml,1.7398177150572902,1.2316795386356107
Tmem87a,1.9444555208928556,1.4180528251206843
Gsg1,1.149464999323879,1.0116465349776733
Ccdc30,-1.5628421621230355,1.0118929856380452
Nkiras1,1.0171892348572953,1.6522505079036118
Mal2,-1.0820873424610118,2.275681473919209
Ica1,1.5780753914199959,1.6800198117123468
Angptl3,1.0826818907268894,2.4265843396972633
Pabpc1,-1.0096052708148502,3.1449653040434975
Rars2,1.0944154659345233,1.3169203489984087
Nat10,-1.8764744803669016,1.0818547608925995
Etl4,1.2824689895202102,1.2011003615592868
Ccn3,1.646661156483023,1.2598823335751517
Pnisr,1.0756077410737541,1.0196560605727016
Nsmf,-1.7918658364305395,1.4068102196983716
Gkn1,2.142950379232204,2.3929387145152603
Orc1,1.1756790584814236,1.1314470740481497
Coro2a,3.2488134639902833,1.2560619364167456
Trim14,1.1770198656104047,1.780869011150225
Aebp2,2.171063227486303,1.3425628783769037
Pcare,-3.163401519537541,1.1601667776950755
Pcdh17,1.3513592351822306,1.0388052849126814
Arpc4,-1.087920503852106,1.208740008457062
Tdrd3,3.4145806878433143,1.5659577903093498
Spata21,1.2564274325710716,1.0597704014223122
Atp6v1d,-1.2946792082035081,2.175650015524354
Immt,1.3614701978504924,1.9578809767078942
Rab6b,-2.042907627279134,1.3948249632851693
E4f1,2.0278488279804474,1.01538733163424
Oaf,-1.1515151308912952,2.7144511531013276
Fut11,-1.7595806569464802,1.0432326576251145
Kpnb1,-1.0550798434373942,2.152060408519173
Lrpap1,-1.614500647316166,1.3386659816148034
Rec114,-1.0684797743144618,2.021336140954978
Mapk15,2.0779409716715405,11.199593011649574
Cenpe,-2.7726267852450692,2.2977295262552975
Nrarp,-1.239919577607854,1.8125691356224445
Sptssb,2.7687567950707748,1.3571532000361517
Rabgap1,1.061012854648462,1.4346461810633966
Hcn4,2.0539725353787617,1.0621064104218894
Ddx42,-1.626311971743289,1.2743731698547078
Emx2,1.6672692379711005,1.3888676456570344
Ptcd3,1.1986250313622542,1.8005643375835896
Gpr160,1.601633182755762,2.653417937577551
Esd,-1.3831860296591256,1.0662820482669413
Fbxo3,-1.4718365783365115,1.0719415605303075
Krt2,2.5916833948117555,1.1965247461167272
Wipf3,-1.463452370813677,1.8676280994629064
Xpa,-1.6131782036938267,3.9092666041424904
LOC299312,-2.765802379633616,1.0252526625669591
Hsd17b12,-1.519764015311288,1.7983120846856457
Prkci,-1.5833422146089755,1.485600654030673
Apex1,1.1514376531688881,1.5614351943387927
Lrrn2,-1.3648947713296335,1.6125592308440004
Me1,-1.229858938629325,2.0589564554467046
Slco1c1,-1.5574284660094095,1.1231843488189068
Nfib,-1.4578555167666423,1.896785434791043
Fam124a,-1.7185044514573626,1.6676071001374762
Msantd2,-1.9140027169016525,1.00606337497389
Nkapd1,-1.5696824170120962,1.2440045017330204
Puf60,-1.4648566052219159,1.7818893243914604
Ripply2,1.5439687069754497,2.0272902637101393
Wee1,-1.1225514123989424,1.47614777657293
Ube2g1,-2.041331663566005,1.0559100128554952
Smarcd3,1.6293680831434616,1.0548208664812568
Efcab14,1.6009078636534977,1.7727856290851005
Plek2,1.288125751393271,1.0145108480449518
Eif4b,1.593690062333685,1.5553702914245457
Slc27a2,2.211217852978945,1.1601961737215194
Raf1,1.0850788194081304,1.9197145865284577
Ice2,3.022632047989549,1.0776320848222671
Mkrn3,-1.5235305715259746,2.252322070021704
Map2k1,-1.2239565737942173,2.1844409020054534
Fancd2os,3.2531984984958564,1.116837547424335
Cgrrf1,-1.982118612226688,1.2129002674391631
Dixdc1,1.2093665371263622,1.4985208037518905
Rcan2,-1.3445906561069119,1.8823423430942245
H2ax,-1.7402169928318454,1.2536255339198117
Hspb2,-3.6786240795388077,1.2035307780845776
Sp2,1.582116084829957,1.1822033016785483
Fbxo8,1.2840361287792392,1.6746056197285812
Commd7,-2.3497471849477494,1.0520672023494493
Cep44,3.749325644961775,1.320957711596999
Stra8,2.8091547047735674,1.0303379530794619
Ptpn1,-1.7846272475369116,1.6915396665235278
Crnkl1,1.3147532916466447,2.018086508121331
Tns2,1.3530138017145583,2.232257933732383
Rbm45,-2.0236322268913445,1.6783740868920687
Cep162,1.2596674442208724,1.7934977571845125
Lgals3,3.975322767609208,1.4189966032935193
Nrgn,-1.2600829847488606,7.30449115605585
Trim43a,1.4978838158244232,1.3480090949155983
Ube3c,-1.4494746765670354,1.3792149639478115
Nrp1,-1.0379704261402476,2.812549059457596
E2f5,1.1172980591545276,1.0123682567054781
Vcl,1.9170265198500218,2.0467612682105716
AABR07004799.1,-2.0019536364781043,1.1973440213946827
Noct,1.2356912402767182,1.4304335301561801
Osbpl6,-1.6297579446498605,1.2751798226322446
Elf2,1.3546006980314664,2.0750752594557427
Ankrd54,-4.215243735182342,1.0667563351295524
Slc25a4,-1.1922020680420162,1.2834799658010965
Araf,-2.2059254531737533,2.656558134799594
Adprhl2,2.0887365999454603,1.2301094709017208
Ckb,-1.286078266757736,1.3156316097664313
Ankrd33b,-1.45487121668233,1.0797151090375352
Tmem203,-2.5969552817942296,1.5075252266954373
Tprn,1.1730975988347518,1.9326473051234956
Gmeb1,-1.5709928723426003,1.3106783501509036
Cpb2,2.5914579944771345,2.8450960356472375
Hyou1,-1.3325454663363032,1.593016790826636
Mob1b,-3.0447910595792873,1.042162633192818
Nmb,-2.5024498550473995,1.7497859840048116
Copg2,1.2271689150513094,1.3625877323400815
Hivep2,-1.892706442865613,2.6252982096913464
Slc7a2,-2.570518355940875,1.0392765017441563
Htt,1.9562761219509381,1.3318083234904152
Tjp1,-1.284584234857629,1.6346090571477525
Fam161b,1.1747317060943654,2.609003542284658
Clstn3,-1.5013904106441387,1.145827161692845
Coq6,1.2585935590575144,2.1091854283117715
Fpr1,1.1940830484622638,1.2555676904173432
Hnrnpa2b1,-2.0483734238669475,1.097702146710457
Irx5,2.5945949667281805,1.9984401399588418
Parp6,-1.7709952462812677,1.1133153283656279
Masp2,1.6041212906378575,1.660904329447268
Mllt3,2.0384489977358475,1.1836978820327713
Pkm,-1.0405789855470726,1.5203819739300621
Tmem63c,-1.7078972813307554,1.3358426280290645
Snx14,1.8758632963264252,1.9177848420119323
